Checkpoint;Opponent;Game Moves;Winner
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 D8 D9 F8 F7 E8 E6 C7 D5 B6 C4 A5 F9 E9 A4 B4 D11 E10 C3 B3 B1 C2 E11 F10 F11 H10 G10 H9 G9 H8 G8 I6 B10 H5 I2 J2 J3 I3 H7 I7 H6 I5 G11 H11 I4 H4 J1 K1;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 D8 D6 E6 C11 E9 E5 F5 G3 J2 F4 H4 I3 H3 I1 I2 E10 B10 C9 B9 C8 A7 C10 B11 B8 F8 G9 I8 H10 J9 I11 K10 H7 J6 I5 K4 J3 I4 J4 K3 K2 H6 I6 J5 D10 D9 G8 F9 F10 A9 A8;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 D8 E6 F6 C11 F9 F5 G5 H3 K2 G4 I4 K1 I2 I3 J2 J3 K3 J4 K4 J6 J5 I6 I5 E8 E7 D9 B10 C9 B9 C8 B8 D7 B7 C5 A6 B4 C6 D5 D6 E5 B6 A5 B5 C4 K5 K6 G6 H6 F7 F8;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 D8 D10 E9 E6 F6 F5 G5 H3 K2 G4 I4 K1 I2 I3 J2 J3 K3 J4 K4 J6 J5 I5 I6 H7 I7 I8 H8 G10 F9 E11 H9 H10 I9 I10 K9 J11 C10 D9 C9 G9 G8 E8 E7 H6 E5 F10 J9 E10 F8 F7 G6 J10 K10 K11 D7 D6 C7 C6 A7 B5 B6 C5 B7 A6;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 D8 E5 F6 G4 H4 I2 H3 C11 H2 G5 H5 G6 H7 H6 J5 I6 J6 I5 J4 I4 J3 I3 J2 J7 I7 G10 I8 I9 F10 G9 G8 F9 K8 J8 F8 E9 B10 C9 B9 C8 B8 D9 E8 H9 B7 D6 C5 D3 B4 B1 C2 C10 B11 C6 B6 C4 B5 C3 B3 C1 D1;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 I5 I10 E9 J2 H3 I1 G2 G5 E6 F4 I4 H7 I7 I6 F8 G6 D5 E7 C8 B11 D9 D7 C7 E3 C4 D2 D3 E2 C3 C2 A3 H6 F5 G4 E5 A4 K5 J5 K4 J4 K3 J3 K2 K1 F6 F7 E8 D6 C6 E4;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 I5 H8 J9 J2 H3 I1 G2 G5 E6 D8 A9 F4 I4 G8 I7 I8 K7 J7 K6 J6 K5 J5 K4 J4 K3 J3 K2 K1 C7 B10 C9 C10 D9 D10 E9 E10 F9 F10 G9 G10 H9 H10 I9 I11 K10 C8 B9 B8 A8 B7 A7 F7 F8 G7 B6 C4 C5 D4 D5 E4 E5 F5 F6 G6 B5 B4 D3 A5;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 I5 H9 J9 J2 H3 I1 G2 G5 E6 F4 I4 H7 I7 I6 F8 E11 G6 D9 E10 D11 G10 F10 G9 H8 G8 G7 F7 H5 H6 I3 H4 I2 H2 F11 G11 G1 H1;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 I5 H7 J9 F8 J6 J2 H3 I1 G2 D9 A10 I8 K7 I4 G5 H5 G6 H6 G7 G8 C9 A11 C10 D7 C7 D8 C8 D6 C6 C5 D5 E3 D4 D2 F4 E4 E5 B11 D10 C11 D11 H1 G1 F3 G3;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;C2 C2 I5 G8 J9 J2 H3 I1 G2 E9 B10 C8 A9 B7 D9 E7 E8 F7 I7 I6 H7 H6 G7 G6 J5 J6 D6 D7 C7 B8 K5 K6 A7 A8;Test Model
